p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-62.33,54.44,59.8,-18.99,-9.36,55.34,-15.98,23.16,14.85,12.88,ঋ
-60.3,54.45,61.14,-17.12,-7.1,59.07,-18.33,22.2,13.51,12.06,ঋ
-62.22,53.07,57.2,-19.85,-9.5,53.08,-12.89,23.65,15.11,13.31,ঋ
-62.74,52.76,56.57,-20.54,-10.47,54.35,-12.34,22.33,15.43,13.38,ঋ
-63.01,52.68,56.5,-20.28,-10.26,55.37,-12.23,22.51,15.96,14.25,ঋ
-60.6,54.37,60.17,-17.64,-7.87,60.15,-16.98,21.81,14.71,13.15,ঋ
-59.95,53.44,58.76,-17.87,-7.41,57.88,-15.29,23.45,14.28,12.96,ঋ
-60.77,51.46,55.81,-20.28,-9.71,55.44,-12.75,20.97,14.62,12.9,ঋ
-59.83,51.58,56.81,-19.27,-8.77,57.22,-14.44,20.26,13.94,12.64,ঋ
-60.4,50.4,54.89,-21.04,-10.95,54.77,-12.78,19.15,14.24,12.85,ঋ
-60.11,50.94,55.97,-20.75,-10.71,56.77,-13.9,18.38,14.17,12.66,ঋ
-59.64,49.33,53.57,-22.1,-11.5,52.76,-12.1,17.87,14.22,12.77,ঋ
-59.0,50.59,55.5,-21.0,-10.98,57.13,-13.63,17.71,13.95,12.62,ঋ
-60.49,50.35,53.54,-22.33,-12.63,54.07,-11.01,19.65,14.97,13.15,ঋ
-56.64,48.68,54.51,-21.95,-10.76,54.34,-15.15,13.6,11.16,9.57,ঋ
-54.34,45.58,51.3,-24.4,-12.68,47.64,-13.86,12.32,9.35,7.91,ঋ
-53.58,49.48,58.43,-20.15,-9.46,56.66,-19.79,10.4,8.85,7.77,ঋ
-58.7,45.94,49.3,-26.91,-15.77,43.29,-9.19,16.03,13.83,11.3,ঋ
-59.43,46.04,48.93,-27.52,-16.36,44.07,-9.01,15.98,14.24,11.55,ঋ
-58.56,46.44,50.12,-26.58,-15.55,45.94,-10.4,15.01,13.54,10.98,ঋ
-59.07,47.13,50.47,-26.23,-15.19,46.85,-9.88,16.59,13.99,11.58,ঋ
-58.42,46.1,49.72,-26.86,-15.92,45.74,-10.27,14.82,13.45,10.94,ঋ
-58.04,46.91,50.6,-25.84,-14.57,47.8,-10.9,15.65,13.37,11.16,ঋ
-58.03,45.76,49.07,-26.89,-15.8,45.32,-9.66,15.07,13.18,10.65,ঋ
-58.3,45.74,49.14,-27.7,-16.41,43.61,-9.61,15.26,13.37,10.94,ঋ
-56.58,45.25,50.18,-26.92,-15.62,45.6,-12.11,11.33,11.35,8.94,ঋ
-60.11,48.18,50.29,-25.22,-14.39,50.11,-8.35,19.24,15.86,13.36,ঋ
-59.96,47.62,49.81,-25.39,-14.38,49.91,-8.23,19.05,15.99,13.39,ঋ
-59.95,48.45,51.21,-24.71,-14.16,52.21,-9.23,18.79,15.9,13.4,ঋ
-59.1,48.57,51.51,-24.56,-13.84,52.19,-9.79,17.98,15.05,12.8,ঋ
-59.32,49.12,51.86,-23.63,-13.42,54.65,-9.82,19.15,15.49,13.33,ঋ
-61.25,49.98,52.06,-23.98,-14.48,55.32,-8.82,19.66,17.21,14.38,ঋ
-57.89,47.91,51.83,-24.96,-14.52,52.31,-11.61,15.31,14.05,11.57,ঋ
-59.06,47.77,50.92,-24.94,-13.97,50.64,-9.54,17.57,15.15,12.81,ঋ
-59.17,45.21,47.46,-28.25,-17.62,44.75,-7.99,15.71,14.75,11.84,ঋ
-59.93,48.57,49.97,-23.07,-11.02,53.06,-6.49,23.7,17.21,15.11,ঋ
-59.01,45.69,47.77,-26.76,-15.31,46.44,-7.06,18.37,15.74,13.34,ঋ
-60.03,47.59,49.99,-25.33,-14.72,50.41,-7.97,18.65,16.25,13.9,ঋ
-57.74,46.25,47.46,-27.97,-16.12,51.08,-6.34,18.48,15.77,13.32,ঋ
-57.93,46.81,48.23,-27.77,-16.7,53.34,-6.93,18.3,16.06,13.79,ঋ
-52.25,45.89,47.93,-29.96,-17.69,54.77,-9.01,15.88,13.39,10.75,ঋ
-52.57,45.35,46.75,-30.92,-18.91,54.72,-8.0,15.66,14.34,11.21,ঋ
-51.86,46.15,48.02,-29.42,-17.55,57.02,-9.1,15.97,13.81,11.29,ঋ
-52.54,45.84,47.72,-29.44,-17.29,56.3,-8.4,16.36,14.37,11.75,ঋ
-52.22,45.64,47.71,-30.03,-18.05,55.63,-8.84,15.6,13.85,11.29,ঋ
-52.2,46.32,48.17,-29.72,-17.82,56.18,-9.14,16.09,13.84,11.19,ঋ
-52.08,46.21,48.28,-29.43,-17.77,56.8,-9.05,16.0,14.12,11.58,ঋ
-52.43,45.93,47.56,-29.95,-17.95,55.58,-8.51,16.28,14.02,11.23,ঋ
-52.06,45.46,47.39,-29.97,-17.8,54.91,-8.48,16.19,13.8,11.25,ঋ
-52.15,46.29,48.53,-29.07,-16.65,57.12,-9.03,16.23,13.81,11.32,ঋ
-51.94,45.89,47.81,-29.6,-17.36,55.77,-8.67,16.34,13.96,11.38,ঋ
-52.05,46.17,48.03,-29.26,-16.94,56.61,-8.51,16.68,13.98,11.47,ঋ
-67.8,47.59,52.37,-22.92,-27.41,34.42,-18.45,18.84,8.44,9.3,ঋ
-71.06,48.36,51.01,-24.76,-31.54,33.95,-15.39,21.3,12.87,14.43,ঋ
-67.41,45.12,50.59,-25.94,-31.34,31.38,-18.13,14.25,8.36,9.68,ঋ
-68.01,48.0,54.26,-21.57,-27.2,41.26,-20.56,18.0,9.07,10.91,ঋ
-70.93,49.33,53.47,-22.41,-28.88,42.87,-17.47,21.13,11.86,13.49,ঋ
-69.48,49.04,54.03,-20.92,-27.22,45.61,-18.86,20.49,10.97,13.29,ঋ
-71.11,50.35,54.65,-20.52,-26.66,50.04,-18.47,23.04,12.29,14.63,ঋ
-71.13,49.17,52.53,-21.9,-27.73,42.84,-15.98,22.97,12.42,14.41,ঋ
-71.45,49.15,52.73,-22.35,-28.86,45.24,-16.74,21.7,12.7,14.63,ঋ
-71.75,49.85,53.62,-20.7,-26.71,46.74,-16.85,23.71,12.67,14.86,ঋ
-71.31,49.11,52.08,-21.8,-27.77,43.91,-15.53,23.45,12.82,14.98,ঋ
-71.38,49.33,52.85,-21.64,-27.8,46.16,-16.26,22.66,12.84,14.97,ঋ
-69.13,48.74,52.2,-21.58,-27.22,44.28,-16.06,22.79,11.75,14.16,ঋ
-64.46,44.4,50.73,-26.05,-30.85,34.73,-18.9,12.66,7.71,8.56,ঋ
-65.87,44.62,49.65,-26.57,-31.2,33.52,-16.88,15.14,8.83,9.84,ঋ
-66.18,42.47,44.56,-31.2,-36.17,21.26,-12.46,15.55,10.27,10.28,ঋ
-66.05,44.38,48.19,-27.09,-31.55,31.62,-15.33,16.07,8.96,9.72,ঋ
-68.87,43.89,46.22,-28.82,-33.6,26.09,-12.63,17.55,11.11,11.87,ঋ
-68.8,44.79,47.26,-27.78,-32.95,28.7,-13.02,18.25,11.53,12.46,ঋ
-68.94,44.93,46.98,-27.61,-32.34,28.26,-12.26,19.72,11.66,12.67,ঋ
-69.15,45.03,47.91,-28.34,-34.03,29.76,-13.82,17.28,11.73,12.41,ঋ
-67.71,43.95,46.05,-28.71,-33.73,26.25,-12.74,17.61,10.53,11.41,ঋ
-68.32,43.61,45.88,-29.73,-34.79,24.17,-12.44,17.24,11.26,11.88,ঋ
-69.2,45.08,47.63,-27.69,-33.19,28.87,-13.05,18.29,11.76,12.74,ঋ
