p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-61.46,-0.31,-5.31,-9.18,45.08,-124.45,19.45,4.95,0.93,-13.87,ঐ
-61.26,1.17,-3.86,-6.83,48.19,-129.33,21.36,6.78,1.21,-9.41,ঐ
-61.46,-0.86,-6.08,-8.25,48.36,-122.39,20.62,5.07,-1.51,-9.98,ঐ
-60.79,-0.31,-5.62,-8.03,47.78,-125.97,21.6,6.33,0.18,-7.61,ঐ
-60.56,-0.54,-6.03,-8.64,45.6,-124.97,21.69,6.3,0.05,-7.23,ঐ
-59.68,-1.41,-7.17,-9.76,43.56,-124.25,22.03,6.79,0.6,-2.84,ঐ
-59.19,-1.71,-8.04,-11.34,40.17,-124.88,22.33,7.37,1.8,-3.23,ঐ
-61.4,-0.11,-5.6,-8.2,43.78,-126.7,21.56,6.55,0.7,-4.43,ঐ
-60.88,0.91,-4.5,-6.47,45.98,-131.59,22.92,8.45,2.98,0.37,ঐ
-61.2,1.9,-3.33,-5.33,47.3,-133.41,23.03,8.69,3.21,-2.53,ঐ
-57.53,0.5,-5.65,-8.19,43.49,-134.19,26.18,11.96,6.74,4.23,ঐ
-63.46,3.49,-1.44,-3.41,48.29,-138.13,21.73,7.2,1.39,-2.82,ঐ
-66.73,4.05,0.44,-0.22,51.29,-136.57,20.3,5.38,-1.33,-4.58,ঐ
-65.18,2.49,-3.13,-6.15,42.0,-135.09,19.73,4.64,-1.75,-6.3,ঐ
-62.49,1.71,-4.05,-6.65,43.84,-134.96,21.37,6.81,0.84,-4.13,ঐ
-62.88,2.97,-2.25,-4.13,45.83,-138.06,21.82,7.57,1.53,-2.24,ঐ
-67.04,3.3,-0.92,-2.37,46.76,-133.98,19.45,4.6,-1.99,-7.39,ঐ
-66.29,2.76,-1.2,-2.35,46.07,-132.41,20.17,5.32,-1.58,-4.42,ঐ
-65.39,3.31,-0.77,-1.67,47.52,-134.73,21.96,7.64,1.07,0.08,ঐ
-69.38,7.25,4.1,3.17,51.61,-150.13,18.74,4.25,-2.07,-5.82,ঐ
-64.82,4.69,0.56,-0.84,46.87,-141.74,21.47,7.23,0.87,-0.04,ঐ
-63.96,5.39,1.2,-0.03,47.48,-144.7,22.42,8.43,2.4,2.92,ঐ
-63.49,6.01,1.35,-0.87,44.64,-147.91,22.1,8.08,1.67,0.51,ঐ
-64.67,4.66,0.25,-1.57,44.33,-142.3,21.59,7.25,0.93,0.0,ঐ
-63.37,4.66,-0.48,-3.11,41.69,-145.2,21.57,7.61,1.61,-0.58,ঐ
-63.35,3.82,-0.61,-2.08,42.77,-140.46,22.89,8.67,2.63,2.42,ঐ
-64.0,5.45,0.92,-0.71,44.3,-146.18,22.35,8.32,2.27,1.54,ঐ
-63.11,0.56,-4.59,-6.32,38.93,-129.92,22.09,7.37,1.03,0.16,ঐ
-65.55,4.3,-0.18,-1.75,43.41,-140.78,20.86,6.37,-0.04,-0.75,ঐ
-63.06,2.81,-2.34,-4.65,39.32,-137.47,21.99,7.55,1.82,0.0,ঐ
-59.93,-0.55,-6.72,-9.65,34.48,-130.07,23.07,8.73,3.05,1.04,ঐ
-59.01,-0.88,-7.15,-9.96,33.86,-129.74,23.84,9.81,4.39,2.85,ঐ
-58.07,-1.93,-7.99,-10.34,33.81,-126.65,24.66,10.42,5.29,4.83,ঐ
-58.17,-1.25,-7.52,-10.13,33.25,-128.42,24.71,10.42,5.49,4.5,ঐ
-58.48,-0.55,-6.95,-9.8,33.22,-130.66,24.4,10.28,5.16,4.16,ঐ
-58.58,-1.35,-7.46,-9.9,33.8,-128.11,24.33,9.9,4.78,4.36,ঐ
-58.27,-1.09,-7.38,-10.08,33.13,-128.86,24.5,10.46,5.63,4.03,ঐ
-57.49,-1.86,-8.33,-10.98,32.33,-127.59,24.96,10.6,5.94,5.02,ঐ
-58.32,-0.91,-7.67,-10.62,32.9,-130.26,24.17,9.84,5.03,3.66,ঐ
-57.89,-1.1,-7.75,-10.61,33.22,-129.41,24.38,10.1,5.49,4.38,ঐ
-56.79,-1.78,-8.27,-11.12,31.48,-128.64,25.32,11.32,6.84,6.53,ঐ
-57.81,-1.36,-7.67,-10.18,32.7,-128.23,24.84,10.77,6.26,6.18,ঐ
-56.93,-2.04,-8.77,-11.45,30.93,-127.97,25.41,11.39,6.9,6.52,ঐ
-57.03,-1.3,-7.63,-9.74,32.94,-129.16,25.7,11.8,7.36,7.52,ঐ
-57.1,-0.96,-7.89,-10.8,30.97,-130.61,25.04,11.04,6.78,5.64,ঐ
-56.67,-1.57,-8.42,-11.21,30.86,-128.93,25.41,11.77,7.43,6.74,ঐ
-56.1,-1.99,-9.05,-11.97,29.95,-128.67,25.7,11.9,7.5,6.6,ঐ
-56.02,-2.31,-9.51,-12.35,29.41,-127.07,25.66,11.84,7.56,6.2,ঐ
-55.52,-2.83,-9.78,-12.38,29.54,-125.41,26.2,12.44,8.38,7.81,ঐ
-55.3,-2.75,-9.82,-12.67,29.06,-126.31,26.09,12.42,8.08,7.2,ঐ
-55.45,-2.79,-9.76,-12.45,29.15,-126.48,25.9,12.24,8.05,7.11,ঐ
-55.36,-2.79,-9.67,-12.23,29.66,-125.49,26.12,12.53,8.38,8.16,ঐ
-55.25,-2.7,-9.8,-12.31,29.48,-126.62,26.2,12.81,8.81,8.19,ঐ
-55.38,-2.48,-9.35,-11.77,30.24,-126.76,26.32,12.52,8.59,7.47,ঐ
-55.26,-2.18,-9.27,-11.9,30.77,-129.16,26.79,13.11,8.76,7.71,ঐ
-54.6,-3.16,-10.88,-13.93,27.54,-127.22,26.64,13.21,9.12,7.57,ঐ
-54.8,-2.67,-10.32,-13.43,28.37,-127.99,26.57,13.08,9.08,7.32,ঐ
-54.69,-3.17,-10.68,-13.34,28.6,-126.53,26.7,13.01,9.06,8.23,ঐ
-54.8,-3.09,-10.46,-13.12,28.89,-126.63,26.44,12.88,8.72,8.13,ঐ
-54.2,-3.21,-10.74,-13.57,28.61,-126.56,26.85,13.34,9.29,8.42,ঐ
-54.09,-3.52,-11.01,-13.8,27.89,-125.63,27.11,13.61,9.66,9.13,ঐ
-54.73,-3.18,-10.72,-13.43,28.45,-126.87,26.39,12.74,8.63,7.66,ঐ
-54.22,-3.39,-11.04,-13.98,28.08,-125.63,26.65,13.23,9.14,7.61,ঐ
-58.53,-0.74,-7.16,-9.28,33.41,-129.07,24.83,10.87,6.37,6.24,ঐ
-56.33,-2.83,-10.08,-12.68,29.03,-125.45,25.81,11.96,7.19,6.92,ঐ
-55.11,-3.24,-10.49,-13.25,28.88,-126.61,26.28,12.61,8.01,7.35,ঐ
-64.44,3.76,-1.13,-2.95,42.25,-143.59,24.89,11.41,5.24,3.39,ঐ
-62.28,-0.35,-6.63,-8.77,34.78,-136.18,26.34,13.09,7.1,6.23,ঐ
-59.26,-1.81,-8.11,-9.81,33.47,-133.75,29.04,16.24,10.65,11.26,ঐ
-61.61,-0.31,-6.89,-9.1,33.43,-137.17,26.92,13.8,7.96,6.81,ঐ
-62.39,-0.94,-6.84,-8.01,35.66,-134.57,26.51,13.26,7.11,7.86,ঐ
-62.02,-0.34,-6.3,-7.44,35.55,-135.94,27.52,14.7,8.64,9.95,ঐ
-66.05,4.17,-0.84,-1.48,41.42,-148.52,26.14,13.44,7.22,9.31,ঐ
-65.72,4.67,-0.56,-1.08,43.39,-150.92,25.75,12.91,6.32,9.22,ঐ
-67.65,4.05,-1.38,-2.04,43.23,-149.83,24.15,10.78,3.1,4.55,ঐ
-71.96,4.72,-0.09,-0.15,46.34,-149.49,21.78,7.93,0.0,-0.93,ঐ
-69.78,2.82,-1.71,-1.54,44.91,-142.29,21.88,8.11,0.26,0.23,ঐ
-69.74,4.25,-0.05,0.14,46.6,-145.31,22.71,9.19,1.39,2.08,ঐ
-69.46,3.86,-0.73,-0.64,44.96,-145.04,22.68,9.19,1.77,2.58,ঐ
-68.09,3.61,-1.23,-1.77,42.62,-145.16,23.52,9.99,2.63,2.66,ঐ
-67.99,3.08,-1.84,-1.72,43.16,-142.82,24.01,10.6,3.45,5.24,ঐ
-65.81,5.05,0.21,-0.12,43.75,-150.35,25.07,12.1,5.29,6.33,ঐ
-64.55,3.77,-1.58,-2.11,41.19,-147.56,25.95,13.08,6.65,6.99,ঐ
-63.45,2.73,-2.8,-3.24,40.29,-144.49,26.41,13.63,7.24,7.85,ঐ
-64.41,2.56,-2.64,-2.92,40.29,-142.5,26.11,13.37,6.8,7.86,ঐ
-65.7,3.99,-0.99,-1.39,42.21,-147.46,25.31,12.46,5.63,6.6,ঐ
-65.86,3.38,-1.84,-2.53,39.34,-145.33,24.98,11.83,4.85,5.51,ঐ
-65.75,3.72,-0.86,-0.88,41.89,-145.66,25.75,12.81,5.9,8.41,ঐ
-65.53,2.68,-2.7,-3.56,38.67,-143.24,25.48,12.4,5.4,5.6,ঐ
-63.62,2.48,-3.43,-4.47,49.73,-142.54,23.01,10.47,4.53,-8.84,ঐ
-64.06,1.83,-2.9,-3.22,51.65,-137.18,23.96,11.46,5.67,-5.22,ঐ
-64.33,2.19,-3.09,-3.36,50.67,-139.26,23.44,10.51,4.72,-5.8,ঐ
-65.21,1.27,-3.7,-3.84,50.55,-137.56,23.74,11.04,5.58,-4.21,ঐ
-64.73,2.01,-2.9,-2.66,52.47,-142.05,24.58,12.09,6.69,-2.48,ঐ
-64.56,0.3,-5.24,-5.62,46.79,-137.19,24.44,11.73,6.25,-0.55,ঐ
-64.6,1.37,-4.39,-5.29,45.72,-140.91,24.19,11.43,6.2,-1.2,ঐ
-65.55,0.17,-5.44,-6.07,45.31,-136.36,23.37,10.29,4.62,-2.87,ঐ
-65.47,0.36,-5.7,-6.58,44.32,-137.14,23.27,10.52,5.22,-2.09,ঐ
-64.19,-0.4,-6.05,-6.42,45.22,-134.87,24.47,11.77,6.39,0.33,ঐ
-67.1,0.92,-4.87,-5.69,44.84,-136.58,22.53,9.31,3.66,-5.5,ঐ
-67.85,0.33,-5.2,-5.27,46.94,-133.6,22.07,8.62,2.69,-5.21,ঐ
-67.9,1.28,-4.17,-4.72,46.38,-137.35,21.78,8.44,2.78,-5.73,ঐ
-68.21,2.39,-3.12,-3.63,47.72,-141.66,21.75,8.52,2.54,-5.72,ঐ
-68.66,2.15,-3.02,-3.35,48.37,-138.49,21.73,8.29,2.27,-6.53,ঐ
-67.69,1.22,-4.27,-4.86,45.79,-136.65,22.1,8.9,2.79,-6.31,ঐ
-71.39,4.58,0.4,0.69,52.26,-147.93,20.22,6.76,0.43,-8.84,ঐ
-65.69,1.45,-3.93,-4.21,46.91,-138.68,24.14,11.27,5.71,-0.67,ঐ
-65.16,-1.33,-7.03,-6.95,45.03,-128.79,23.69,10.41,4.75,-1.72,ঐ
-65.72,-1.39,-7.78,-9.13,40.36,-128.58,22.74,9.45,3.59,-4.32,ঐ
-67.32,0.55,-5.17,-5.89,44.58,-134.07,22.41,9.1,2.85,-5.59,ঐ
-67.39,-0.27,-5.81,-6.14,44.9,-130.95,22.51,9.01,2.75,-4.76,ঐ
-65.25,-0.93,-6.95,-7.85,42.2,-130.85,23.49,10.39,4.32,-3.01,ঐ
-64.88,-0.52,-7.28,-8.8,41.31,-133.9,23.34,10.14,4.39,-4.11,ঐ
-63.44,-3.11,-9.46,-10.33,40.26,-125.04,24.21,10.9,4.86,-1.81,ঐ
-65.8,-0.86,-6.65,-7.28,42.88,-130.3,23.3,10.14,4.2,-2.85,ঐ
-67.1,-0.22,-5.67,-6.48,43.47,-131.62,22.59,9.25,3.23,-4.12,ঐ
-63.91,-1.4,-8.56,-10.29,38.69,-133.07,23.78,10.91,4.88,-2.79,ঐ
