p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-47.11,-3.88,-12.05,-18.88,3.15,-81.53,27.7,17.58,16.72,13.66,ও
-48.13,-3.11,-11.33,-18.34,3.74,-82.03,27.33,17.37,16.71,13.96,ও
-49.06,-2.28,-10.78,-18.21,3.12,-83.69,29.01,19.25,19.4,16.4,ও
-48.17,-3.54,-11.82,-18.98,2.94,-76.55,26.66,16.17,15.49,13.22,ও
-49.52,-2.24,-10.82,-18.72,2.49,-78.56,26.69,16.37,15.7,13.66,ও
-46.31,-4.54,-13.89,-22.92,-2.17,-80.14,29.13,19.11,18.6,16.41,ও
-45.11,-5.85,-14.8,-22.64,-0.79,-77.52,28.48,17.8,16.51,14.74,ও
-49.65,-1.44,-10.78,-20.13,-0.16,-81.41,27.68,17.66,17.16,14.8,ও
-46.9,-4.74,-13.79,-22.16,-0.97,-72.95,24.92,13.73,11.95,10.53,ও
-48.92,-2.89,-11.45,-19.72,1.22,-76.12,26.44,15.7,14.56,13.03,ও
-48.39,-3.18,-11.81,-19.97,1.17,-76.15,26.79,15.97,14.85,13.64,ও
-48.63,-3.04,-11.58,-19.96,1.31,-76.84,26.82,16.16,15.16,13.67,ও
-46.41,-4.71,-13.5,-22.11,-1.0,-74.76,26.64,15.97,14.83,13.46,ও
-48.9,-2.4,-11.13,-19.57,1.29,-77.38,27.1,16.66,15.9,14.53,ও
-48.1,-3.4,-12.12,-20.5,0.37,-75.91,26.82,16.39,14.91,13.6,ও
-46.71,-4.51,-13.11,-21.75,-1.14,-75.34,27.04,17.02,15.44,14.22,ও
-46.02,-5.14,-14.17,-22.61,-1.46,-73.02,25.97,15.14,14.03,12.88,ও
-60.26,3.67,-2.47,-7.9,13.05,-49.86,16.85,4.16,2.1,1.62,ও
-61.03,4.31,-2.05,-7.94,12.68,-52.1,17.47,4.95,2.54,1.79,ও
-58.35,2.47,-4.82,-11.16,9.66,-54.39,18.03,5.44,3.14,2.43,ও
-56.48,1.18,-6.17,-12.64,8.15,-57.92,19.82,7.57,5.55,4.94,ও
-56.05,0.93,-6.73,-13.59,7.1,-58.39,19.53,7.21,5.19,4.43,ও
-53.69,-0.82,-8.78,-15.55,5.49,-57.47,19.26,6.57,4.31,3.87,ও
-53.36,-0.95,-8.97,-16.42,4.45,-57.77,19.57,7.04,4.41,4.08,ও
-52.43,-1.33,-9.42,-16.9,3.89,-57.86,19.6,7.13,4.49,4.44,ও
-52.06,-1.59,-9.82,-17.27,3.84,-57.54,19.55,6.86,3.39,3.3,ও
-51.47,-2.16,-10.43,-18.14,2.67,-57.62,19.64,7.16,3.99,4.1,ও
-51.69,-1.97,-10.41,-18.54,2.38,-59.32,20.3,7.98,4.89,5.03,ও
-51.07,-2.53,-11.06,-18.92,2.07,-58.5,20.19,7.72,4.5,4.37,ও
-51.3,-2.38,-11.15,-19.18,2.29,-58.81,20.14,7.48,4.44,4.57,ও
-49.98,-3.27,-11.93,-19.57,1.62,-57.86,20.03,7.4,3.96,4.11,ও
-51.81,-1.89,-10.47,-18.67,2.37,-60.4,20.87,8.69,5.4,5.29,ও
-50.61,-2.51,-11.27,-19.45,1.16,-58.83,20.22,7.72,4.51,4.6,ও
-49.52,-3.42,-12.17,-20.47,0.7,-57.79,20.09,7.5,3.95,4.3,ও
-49.92,-3.0,-11.92,-20.19,0.61,-58.09,19.98,7.63,4.29,4.55,ও
-47.23,-5.12,-13.97,-21.84,-0.51,-56.09,19.9,7.15,3.23,3.74,ও
-51.46,-2.04,-10.7,-19.08,1.68,-61.41,21.67,9.57,6.34,6.53,ও
-49.28,-3.53,-12.25,-20.65,0.29,-59.46,20.74,8.5,5.23,5.53,ও
-47.81,-4.64,-13.69,-22.14,-1.06,-57.66,19.96,7.31,3.68,4.02,ও
-48.88,-3.72,-12.64,-21.24,-0.18,-59.58,20.84,8.53,5.09,5.35,ও
